Ciudad,Año,Índice de Costo de Vida_x,Índice de Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Esperanza vida
Viena,2014,90.16,36.22,90.45,79.49,169.65,94.09,70.09,77.78,12.51,25.33,25.18,81.6
Viena,2015,77.02,32.92,74.92,70.06,178.28,100.22,69.48,80.79,13.3,24.86,25.02,81.3
Viena,2016,65.87,31.86,61.57,61.04,195.97,119.81,71.96,78.8,16.72,26.28,21.17,81.8
Viena,2017,68.59,29.94,62.23,66.64,195.78,98.5,78.19,81.05,13.68,25.55,18.97,81.7
Viena,2018,78.64,35.04,73.8,73.39,188.6,98.88,77.38,77.96,14.08,26.03,18.97,81.8
Viena,2019,69.12,33.01,63.75,67.22,193.07,98.23,77.45,79.05,12.73,24.76,16.99,82.0
Viena,2020,65.64,30.81,56.51,63.33,184.49,83.16,76.99,78.78,13.9,26.55,18.44,81.3
Viena,2021,71.31,34.11,61.19,67.15,185.8,87.36,74.74,78.94,13.12,26.51,17.76,81.3
Viena,2022,68.36,34.66,61.71,66.93,181.79,79.56,73.53,78.6,13.96,26.29,17.32,81.1
Viena,2023,61.85,26.48,54.08,66.2,199.58,112.94,73.15,79.24,11.53,24.54,16.7,82.05
Bruselas,2014,103.82,42.4,97.01,113.87,115.01,89.83,48.65,70.56,5.85,24.33,66.96,81.4
Bruselas,2015,92.77,37.07,88.64,96.67,111.71,85.34,47.15,73.7,6.75,21.5,68.04,81.1
Bruselas,2016,79.07,30.77,73.9,83.45,152.1,114.79,45.46,76.47,7.5,31.0,70.47,81.5
Bruselas,2017,75.85,31.79,66.45,82.92,148.19,95.8,45.48,77.17,7.49,32.86,64.96,81.6
Bruselas,2018,83.65,35.76,72.55,96.1,151.72,104.35,48.69,78.39,7.03,32.65,63.29,81.7
Bruselas,2019,75.45,30.96,64.79,86.47,150.85,96.71,50.6,78.16,6.91,32.43,62.51,82.1
Bruselas,2020,72.33,30.1,60.66,81.36,146.45,94.14,50.04,74.29,6.3,36.43,63.21,80.8
Bruselas,2021,79.05,33.77,67.84,85.03,143.24,86.65,49.2,74.97,6.08,37.11,62.13,81.9
Bruselas,2022,74.39,33.35,64.69,77.0,142.44,87.04,48.27,74.57,6.93,37.0,62.13,81.8
Bruselas,2023,68.82,29.53,57.92,70.38,146.02,97.2,45.4,73.87,6.66,36.74,61.71,82.17
Sofía,2014,51.59,12.41,47.1,38.22,61.51,41.96,54.24,59.91,9.57,37.91,67.68,74.5
Sofía,2015,44.92,10.93,39.64,34.2,68.83,44.76,51.06,59.47,9.44,36.27,62.96,74.7
Sofía,2016,37.6,9.89,32.35,30.22,137.56,65.96,50.85,53.14,8.87,31.44,58.33,74.9
Sofía,2017,37.65,10.56,31.9,29.78,134.23,57.21,54.44,53.96,9.26,29.87,60.97,74.8
Sofía,2018,43.11,12.96,37.06,34.44,125.65,60.66,55.41,52.53,9.57,32.99,62.77,75.0
Sofía,2019,40.17,12.55,34.06,32.74,127.34,61.3,55.71,54.15,8.87,30.16,66.1,75.1
Sofía,2020,39.96,13.28,32.36,34.41,124.37,55.8,57.82,56.22,9.19,31.37,68.71,73.6
Sofía,2021,43.94,14.1,37.22,36.87,120.75,47.09,58.24,57.18,9.82,30.72,68.76,71.4
Sofía,2022,42.24,14.58,36.68,38.75,124.66,55.31,57.48,57.48,9.02,30.7,68.92,74.3
Sofía,2023,46.17,12.94,40.48,43.11,124.39,57.94,58.07,57.44,10.33,30.43,68.95,75.49
Zagreb,2014,71.35,16.0,64.42,53.14,102.87,49.88,67.39,62.5,13.84,33.86,34.93,77.9
Zagreb,2015,60.33,13.63,53.54,44.94,112.07,53.94,67.43,63.72,12.24,30.0,37.76,77.5
Zagreb,2016,48.97,11.82,41.44,37.95,159.94,70.89,68.53,63.75,12.26,33.7,37.61,78.2
Zagreb,2017,48.57,12.03,41.19,37.82,164.21,67.14,71.39,68.05,11.12,31.34,36.35,78.0
Zagreb,2018,58.0,15.39,49.52,46.65,158.15,64.19,73.99,65.48,11.47,33.46,35.85,78.2
Zagreb,2019,51.12,14.43,42.69,43.04,162.04,64.64,75.68,65.5,11.49,33.75,32.48,78.6
Zagreb,2020,50.13,15.79,40.37,42.59,158.51,57.46,77.65,63.08,12.67,33.21,32.45,77.8
Zagreb,2021,54.06,17.28,45.1,46.09,156.53,49.57,77.72,65.65,13.47,31.68,31.65,76.7
Zagreb,2022,49.88,17.1,42.03,40.36,158.79,55.08,78.61,64.61,13.34,31.44,32.6,77.7
Zagreb,2023,51.0,15.77,42.83,45.13,156.56,56.51,77.63,63.51,14.22,32.0,33.52,79.02
Praga,2014,58.48,22.88,52.51,40.49,125.25,64.1,67.37,70.71,12.87,34.33,35.13,78.9
Praga,2015,49.73,20.04,44.53,36.83,132.25,69.95,67.07,69.24,11.64,32.5,38.15,78.7
Praga,2016,43.1,18.08,37.25,31.64,163.95,90.61,68.95,71.67,12.78,37.53,42.09,79.1
Praga,2017,43.63,19.2,37.77,31.44,160.99,76.62,70.23,70.89,14.25,37.06,37.62,79.1
Praga,2018,53.84,25.06,47.04,40.31,160.31,77.13,72.45,73.62,16.19,33.97,36.8,79.1
Praga,2019,48.4,24.61,40.61,39.18,159.16,73.39,74.05,73.1,17.69,33.46,36.13,79.3
Praga,2020,49.03,26.52,39.59,39.14,157.46,66.41,75.5,73.46,17.65,32.5,36.48,78.3
Praga,2021,52.43,27.18,44.59,39.72,155.92,59.96,75.84,74.61,17.97,32.35,34.98,77.2
Praga,2022,51.78,26.02,45.19,42.51,161.33,71.96,75.83,74.45,17.65,32.39,34.53,79.1
Praga,2023,54.62,27.07,46.48,42.45,158.93,69.89,75.3,74.72,19.26,32.29,33.88,78.23
Copenhague,2014,117.24,54.46,106.98,138.41,174.66,97.83,69.37,85.74,6.54,27.57,32.76,80.7
Copenhague,2015,105.72,52.79,94.65,122.94,175.3,96.68,73.2,74.49,6.78,30.0,28.82,80.8
Copenhague,2016,89.28,39.64,74.75,102.22,194.15,126.12,73.22,77.34,7.68,28.0,27.21,80.9
