Ciudad,Año,Esperanza vida
Bruselas,2014,81.4
Sofía,2014,74.5
Copenhague,2014,80.7
Berlín,2014,81.2
Tallin,2014,77.4
Dublín,2014,81.4
Atenas,2014,81.5
Madrid,2014,83.3
París,2014,82.9
Zagreb,2014,77.9
Roma,2014,83.2
Nicosia,2014,82.3
Riga,2014,74.5
Vilna,2014,74.7
Luxemburgo,2014,82.3
Budapest,2014,76.0
Valeta,2014,82.1
Ámsterdam,2014,81.8
Viena,2014,81.6
Varsovia,2014,77.8
Lisboa,2014,81.3
Bucarest,2014,75.0
Liubliana,2014,81.2
Bratislava,2014,77.0
Helsinki,2014,81.3
Estocolmo,2014,82.3
Praga,2014,78.9
Bruselas,2015,81.1
Sofía,2015,74.7
Copenhague,2015,80.8
Berlín,2015,80.7
Tallin,2015,78.0
Dublín,2015,81.5
Atenas,2015,81.1
Madrid,2015,83.0
París,2015,82.4
Zagreb,2015,77.5
Roma,2015,82.7
Nicosia,2015,81.8
Riga,2015,74.8
Vilna,2015,74.6
Luxemburgo,2015,82.4
Budapest,2015,75.7
Valeta,2015,82.0
Ámsterdam,2015,81.6
Viena,2015,81.3
Varsovia,2015,77.5
Lisboa,2015,81.3
Bucarest,2015,74.9
Liubliana,2015,80.9
Bratislava,2015,76.7
Helsinki,2015,81.6
Estocolmo,2015,82.2
Praga,2015,78.7
Bruselas,2016,81.5
Sofía,2016,74.9
Copenhague,2016,80.9
Berlín,2016,81.0
Tallin,2016,78.0
Dublín,2016,81.7
Atenas,2016,81.5
Madrid,2016,83.5
París,2016,82.7
Zagreb,2016,78.2
Roma,2016,83.4
Nicosia,2016,82.7
Riga,2016,74.9
Vilna,2016,74.9
Luxemburgo,2016,82.7
Budapest,2016,76.2
Valeta,2016,82.6
Ámsterdam,2016,81.7
Viena,2016,81.8
Varsovia,2016,78.0
Lisboa,2016,81.3
Bucarest,2016,75.2
Liubliana,2016,81.2
Bratislava,2016,77.3
Helsinki,2016,81.5
Estocolmo,2016,82.4
Praga,2016,79.1
Bruselas,2017,81.6
Sofía,2017,74.8
Copenhague,2017,81.1
Berlín,2017,81.1
Tallin,2017,78.4
Dublín,2017,82.2
Atenas,2017,81.4
Madrid,2017,83.4
París,2017,82.7
Zagreb,2017,78.0
Roma,2017,83.1
Nicosia,2017,82.2
Riga,2017,74.9
Vilna,2017,75.8
Luxemburgo,2017,82.1
Budapest,2017,76.0
Valeta,2017,82.4
Ámsterdam,2017,81.8
Viena,2017,81.7
Varsovia,2017,77.8
Lisboa,2017,81.6
Bucarest,2017,75.2
Liubliana,2017,81.2
Bratislava,2017,77.3
Helsinki,2017,81.7
Estocolmo,2017,82.5
Praga,2017,79.1
Bruselas,2018,81.7
Sofía,2018,75.0
Copenhague,2018,81.0
Berlín,2018,81.0
Tallin,2018,78.5
Dublín,2018,82.2
Atenas,2018,81.9
Madrid,2018,83.5
París,2018,82.8
Zagreb,2018,78.2
Roma,2018,83.4
Nicosia,2018,82.9
Riga,2018,75.1
Vilna,2018,76.0
Luxemburgo,2018,82.3
Budapest,2018,76.2
Valeta,2018,82.5
Ámsterdam,2018,81.9
Viena,2018,81.8
Varsovia,2018,77.7
Lisboa,2018,81.5
Bucarest,2018,75.3
Liubliana,2018,81.5
Bratislava,2018,77.4
Helsinki,2018,81.8
Estocolmo,2018,82.6
Praga,2018,79.1
Bruselas,2019,82.1
Sofía,2019,75.1
Copenhague,2019,81.5
Berlín,2019,81.3
Tallin,2019,79.0
Dublín,2019,82.8
Atenas,2019,81.7
Madrid,2019,84.0
París,2019,83.0
Zagreb,2019,78.6
Roma,2019,83.6
Nicosia,2019,82.3
Riga,2019,75.7
Vilna,2019,76.5
Luxemburgo,2019,82.7
Budapest,2019,76.5
Valeta,2019,82.9
Ámsterdam,2019,82.2
Viena,2019,82.0
Varsovia,2019,78.0
Lisboa,2019,81.9
Bucarest,2019,75.6
Liubliana,2019,81.6
Bratislava,2019,77.8
Helsinki,2019,82.1
Estocolmo,2019,83.2
Praga,2019,79.3
Bruselas,2020,80.8
Sofía,2020,73.6
Copenhague,2020,81.6
Berlín,2020,81.1
Tallin,2020,78.9
Dublín,2020,82.6
Atenas,2020,81.4
Madrid,2020,82.4
París,2020,82.3
Zagreb,2020,77.8
Roma,2020,82.3
Nicosia,2020,82.4
Riga,2020,75.5
Vilna,2020,75.1
Luxemburgo,2020,82.2
Budapest,2020,75.7
Valeta,2020,82.3
Ámsterdam,2020,81.4
Viena,2020,81.3
Varsovia,2020,76.5
Lisboa,2020,81.1
Bucarest,2020,74.2
Liubliana,2020,80.6
Bratislava,2020,77.0
Helsinki,2020,82.0
Estocolmo,2020,82.4
Praga,2020,78.3
Bruselas,2021,81.9
Sofía,2021,71.4
Copenhague,2021,81.5
Berlín,2021,80.8
Tallin,2021,77.2
Dublín,2021,82.4
Atenas,2021,80.2
Madrid,2021,83.3
París,2021,82.4
Zagreb,2021,76.7
Roma,2021,82.7
Nicosia,2021,81.3
Riga,2021,73.1
Vilna,2021,74.2
Luxemburgo,2021,82.7
Budapest,2021,74.3
Valeta,2021,82.5
Ámsterdam,2021,81.4
Viena,2021,81.3
Varsovia,2021,75.5
Lisboa,2021,81.5
Bucarest,2021,72.8
Liubliana,2021,80.7
Bratislava,2021,74.6
Helsinki,2021,81.9
Estocolmo,2021,83.1
Praga,2021,77.2
Bruselas,2022,81.8
Sofía,2022,74.3
Copenhague,2022,81.3
Berlín,2022,80.7
Tallin,2022,78.2
Dublín,2022,82.6
Atenas,2022,80.7
Madrid,2022,83.2
París,2022,82.3
Zagreb,2022,77.7
Roma,2022,83.0
Nicosia,2022,81.7
Riga,2022,74.8
Vilna,2022,76.0
Luxemburgo,2022,83.0
Budapest,2022,76.2
Valeta,2022,82.7
Ámsterdam,2022,81.7
Viena,2022,81.1
Varsovia,2022,77.4
Lisboa,2022,81.7
Bucarest,2022,75.3
Liubliana,2022,81.3
Bratislava,2022,77.2
Helsinki,2022,81.2
Estocolmo,2022,83.1
Praga,2022,79.1
Bruselas,2023,82.17
Sofía,2023,75.49
Copenhague,2023,81.4
Berlín,2023,81.88
Tallin,2023,79.18
Dublín,2023,82.81
Atenas,2023,82.8
Madrid,2023,83.99
París,2023,83.13
Zagreb,2023,79.02
Roma,2023,84.0
Nicosia,2023,81.51
Riga,2023,75.73
Vilna,2023,76.41
Luxemburgo,2023,82.78
Budapest,2023,77.31
Valeta,2023,83.06
Ámsterdam,2023,82.78
Viena,2023,82.05
Varsovia,2023,79.27
Lisboa,2023,82.65
Bucarest,2023,76.5
Liubliana,2023,81.85
Bratislava,2023,78.0
Helsinki,2023,82.48
Estocolmo,2023,83.33
Praga,2023,78.23
Bruselas,2024,81.60709595678415
Sofía,2024,74.37919132121793
Copenhague,2024,81.17975155130965
Berlín,2024,81.07816633498915
Tallin,2024,78.27761580037921
Dublín,2024,82.22121732939968
Atenas,2024,81.41991369792171
Madrid,2024,83.35918686953636
París,2024,82.66261101281025
Zagreb,2024,77.96227169546131
Roma,2024,83.14005143084644
Nicosia,2024,82.11075431871174
Riga,2024,74.90285751744307
Vilna,2024,75.4211109164047
Luxemburgo,2024,82.518148237841
Budapest,2024,76.01091514329262
Valeta,2024,82.50580081655244
Ámsterdam,2024,81.82767036715116
Viena,2024,81.5947366318454
Varsovia,2024,77.54759948276079
Lisboa,2024,81.58505362238604
Bucarest,2024,75.00023412306157
Liubliana,2024,81.20470146182247
Bratislava,2024,77.03009608531416
Helsinki,2024,81.75830481092851
Estocolmo,2024,82.71319935359732
Praga,2024,78.7028757561954
